Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e
Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2022-12-28 09:00,2.19,2.64,0.43375,9.25,1.52979
2022-12-28 09:15,2.19,2.655,0.4975,8.8,1.47526
2022-12-28 09:30,2.28,2.625,0.6075,8.975,1.63129
2022-12-28 09:45,2.335,2.67,0.46375,8.875,1.72305
2022-12-28 10:00,2.25,2.655,0.52875,7.925,1.55374
2022-12-28 10:15,2.375,2.715,0.52125,8.25,1.48223
2022-12-28 10:30,2.155,2.58,0.49875,7.225,1.59627
2022-12-28 10:45,2.225,2.535,0.4425,7.05,1.62206
2022-12-28 11:00,2.31,2.505,0.5,6.95,1.77413
2022-12-28 11:15,2.15,2.535,0.53,6.425,1.6187
2022-12-28 11:30,2.205,2.61,0.45625,6.3,1.61191
2022-12-28 11:45,2.145,2.595,0.37875,6.1,1.68888
2022-12-28 12:00,2.335,2.595,0.45375,6.325,1.83121
2022-12-28 12:15,2.21,2.595,0.4425,6.45,1.81219
2022-12-28 12:30,2.215,2.655,0.5225,7.15,1.69397
2022-12-28 12:45,2.215,2.595,0.49875,6.55,1.75628
2022-12-28 13:00,2.185,2.58,0.5475,7.075,1.95035
2022-12-28 13:15,2.215,2.49,0.5925,7.4,1.88503
2022-12-28 13:30,2.21,2.535,0.475,7.325,1.76171
2022-12-28 13:45,2.24,2.49,0.43875,7.4,1.79189
2022-12-28 14:00,2.195,2.52,0.45875,7.35,1.81216
2022-12-28 14:15,2.26,2.49,0.59,8.0,1.71581
2022-12-28 14:30,2.065,2.595,0.35875,7.975,1.72805
2022-12-28 14:45,2.065,2.295,0.4525,8.05,1.8003
2022-12-28 15:00,2.115,2.31,0.4775,7.925,1.74058
2022-12-28 15:15,2.085,2.325,0.5575,8.05,1.70265
2022-12-28 15:30,2.12,2.325,0.465,6.9,1.6181
2022-12-28 15:45,2.115,2.31,0.4975,7.575,1.56803
2022-12-28 16:00,2.065,2.25,0.4175,7.175,1.69217
2022-12-28 16:15,2.105,2.265,0.3575,7.575,1.64191
2022-12-28 16:30,2.16,2.28,0.51,7.975,1.63667
2022-12-28 16:45,2.11,2.295,0.4475,8.775,1.59666
2022-12-28 17:00,2.19,2.28,0.4875,8.55,1.65289
2022-12-28 17:15,2.215,2.31,0.485,8.4,1.78633
2022-12-28 17:30,2.275,2.325,0.435,9.15,1.77228
2022-12-28 17:45,2.21,2.355,0.545,8.55,1.80445
2022-12-28 18:00,2.165,2.355,0.38375,8.5,1.70633
