Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e

Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2018-09-16 06:30,3.94,5.2125,1.43875,,1.70723
2018-09-16 06:45,3.84,5.185,1.2975,,1.59654
2018-09-16 07:00,3.805,5.005,1.42625,,1.69329
2018-09-16 07:15,3.815,5.125,1.4475,,1.71337
2018-09-16 07:30,3.575,5.185,1.39,,1.72473
2018-09-16 07:45,3.605,5.23,1.61125,,1.6729
2018-09-16 08:00,3.665,5.92,1.71875,,1.63673
2018-09-16 08:15,3.74,6.175,2.17375,,1.6537
2018-09-16 08:30,3.66,6.955,1.905,,1.81662
2018-09-16 08:45,3.67,7.345,1.9175,,1.76619
2018-09-16 09:00,3.75,6.4175,1.9,,1.82148
2018-09-16 09:15,3.87,7.21,1.525,,2.14004
2018-09-16 09:30,3.92,7.0175,1.55,,2.72992
2018-09-16 09:45,4.165,7.36,1.425,,2.80268
2018-09-16 10:00,5.105,7.1525,1.5275,,2.52515
2018-09-16 10:15,5.125,6.8825,1.51375,,2.95222
2018-09-16 10:30,5.025,7.0,1.6425,,2.85391
2018-09-16 10:45,5.195,5.6375,1.51125,,2.46547
2018-09-16 11:00,5.115,6.1025,1.7775,,2.13507
2018-09-16 11:15,4.68,6.685,2.11625,,1.97779
2018-09-16 11:30,5.045,7.3025,1.99375,,1.82681
2018-09-16 11:45,6.02,7.3475,1.9825,,1.87578
2018-09-16 12:00,6.585,6.6725,3.47,,2.01776
2018-09-16 12:15,6.11,7.3025,3.05,,2.17975
2018-09-16 12:30,6.135,7.9925,2.87625,,1.95843
2018-09-16 12:45,5.58,7.8425,3.2725,,1.93745
2018-09-16 13:00,6.03,8.1875,2.84625,,1.87559
2018-09-16 13:15,6.49,7.9175,2.7975,,1.64412
2018-09-16 13:30,6.32,7.2425,2.26875,,2.28025
2018-09-16 13:45,5.98,8.7425,1.97625,,2.06075
2018-09-16 14:00,5.32,8.0375,1.955,,1.86451
2018-09-16 14:15,7.195,7.9775,2.78625,,2.12247
2018-09-16 14:30,6.68,7.95,2.49125,,1.83126
2018-09-16 14:45,6.67,8.1725,2.33625,,1.91454
2018-09-16 15:00,6.435,8.37,2.07125,,1.79366
2018-09-16 15:15,6.47,8.3375,2.05375,,2.40579
2018-09-16 15:30,6.6,8.385,2.78125,,2.11696
2018-09-16 15:45,6.68,7.59,2.89625,,2.77185
2018-09-16 16:00,6.29,8.1725,2.85,,2.42832
2018-09-16 16:15,6.23,8.565,2.66375,,2.07876
