Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e

Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2015-11-09 03:30,2.745,5.64747,0.43375,10.8,1.90278
2015-11-09 03:45,2.635,5.54,0.37375,9.775,1.6438
2015-11-09 04:00,2.765,7.24749,0.37375,9.85,1.77437
2015-11-09 04:15,2.785,5.725,0.36375,10.35,1.68799
2015-11-09 04:30,2.81,5.815,0.38875,10.075,1.65377
2015-11-09 04:45,2.685,5.635,0.47875,10.275,1.76623
2015-11-09 05:00,2.755,5.375,0.355,9.95,2.08289
2015-11-09 05:15,2.8,5.08,0.36,9.8,2.00412
2015-11-09 05:30,2.82,5.235,0.4775,10.025,1.92039
2015-11-09 05:45,2.875,5.54748,0.38375,9.7,2.02812
2015-11-09 06:00,2.94,5.635,0.3525,10.275,2.19106
2015-11-09 06:15,2.745,5.2775,0.44625,10.175,2.26773
2015-11-09 06:30,2.79,5.91001,0.38125,9.925,2.43167
2015-11-09 06:45,2.955,4.7825,0.23,9.925,2.31468
2015-11-09 07:00,2.86,5.55252,0.4725,9.425,2.09343
2015-11-09 07:15,2.785,4.985,0.5375,10.025,2.07829
2015-11-09 07:30,3.065,6.20501,0.6625,10.525,2.19145
2015-11-09 07:45,2.885,6.37504,0.90375,11.725,2.38534
2015-11-09 08:00,2.89,7.235,0.61125,11.2,2.54809
2015-11-09 08:15,3.465,7.4,0.535,11.575,2.34656
2015-11-09 08:30,3.4,7.9425,0.5475,11.275,1.98606
2015-11-09 08:45,3.38,6.395,0.6075,12.35,2.34018
2015-11-09 09:00,3.265,6.04,0.53,11.05,2.14897
2015-11-09 09:15,3.28,6.25754,0.64625,10.825,2.28277
2015-11-09 09:30,3.34,5.875,0.82,9.7,2.73864
2015-11-09 09:45,3.67,6.4425,0.3675,10.8,2.3896
2015-11-09 10:00,5.15,7.065,0.3475,11.0,2.30853
2015-11-09 10:15,5.515,7.755,0.5775,12.55,2.32735
2015-11-09 10:30,4.955,6.40749,0.4125,12.525,2.23742
2015-11-09 10:45,4.15,5.63249,0.3875,12.15,2.368
2015-11-09 11:00,4.555,5.91249,0.3875,11.25,2.57005
2015-11-09 11:15,4.395,5.37,0.5725,9.875,2.59664
2015-11-09 11:30,4.31,4.895,0.44125,9.7,2.7805
2015-11-09 11:45,3.71,4.9475,0.4275,10.45,3.70697
2015-11-09 12:00,3.64,5.90249,0.41,10.425,3.59183
2015-11-09 12:15,4.575,6.25503,0.45125,10.425,3.45764
2015-11-09 12:30,5.085,6.21749,0.48,10.3,3.01609
