Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e

Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2017-04-13 01:30,3.2,,1.665,12.25,1.74874
2017-04-13 01:45,2.985,,1.5425,10.625,1.56375
2017-04-13 02:00,3.735,,1.26375,10.775,1.64279
2017-04-13 02:15,3.635,,0.82625,10.125,1.68468
2017-04-13 02:30,3.415,,0.745,9.8,1.817
2017-04-13 02:45,3.295,,0.8725,9.075,1.86082
2017-04-13 03:00,3.23,,0.86125,9.45,1.80814
2017-04-13 03:15,3.225,,0.73375,8.425,1.75104
2017-04-13 03:30,3.155,,0.83625,8.3,1.92172
2017-04-13 03:45,3.125,,0.76625,8.375,1.82967
2017-04-13 04:00,3.115,,0.7,8.325,1.67577
2017-04-13 04:15,3.07,,0.825,8.675,1.68534
2017-04-13 04:30,2.99,,0.84,8.7,1.66091
2017-04-13 04:45,3.035,,0.7175,8.9,1.84332
2017-04-13 05:00,3.04,,0.73,9.375,1.7109
2017-04-13 05:15,3.01,,0.74,8.65,1.70787
2017-04-13 05:30,3.065,,0.71,9.4,1.59414
2017-04-13 05:45,3.04,,0.85625,9.075,1.56721
2017-04-13 06:00,2.99,,0.83125,9.825,1.98209
2017-04-13 06:15,2.91,,0.67125,9.025,2.10163
2017-04-13 06:30,3.09,,0.80875,9.7,2.06156
2017-04-13 06:45,3.15,,0.75,9.175,1.90408
2017-04-13 07:00,3.12,,0.64125,10.2,1.90505
2017-04-13 07:15,4.65,,0.91625,9.775,1.99349
2017-04-13 07:30,5.18,,0.9075,9.425,1.82671
2017-04-13 07:45,4.69,,0.79875,9.825,2.10053
2017-04-13 08:00,4.74,,0.71625,10.3,2.04283
2017-04-13 08:15,3.275,,0.6575,10.8,1.98345
2017-04-13 08:30,3.15,,0.82,10.225,1.96432
2017-04-13 08:45,3.325,,0.80875,10.075,2.04722
2017-04-13 09:00,3.38,,0.855,10.35,2.36046
2017-04-13 09:15,3.335,,0.78125,10.55,2.22488
2017-04-13 09:30,3.205,,0.77125,9.625,2.14198
2017-04-13 09:45,3.07,,0.7575,10.375,2.19202
2017-04-13 10:00,3.37,,0.7575,10.975,2.22328
2017-04-13 10:15,3.365,,0.81875,11.3,1.94644
2017-04-13 10:30,3.44,,0.78625,10.5,1.93145
2017-04-13 10:45,3.395,,0.9475,11.625,2.16958
2017-04-13 11:00,4.185,,0.86875,12.0,1.99979
2017-04-13 11:15,3.91,,1.00625,12.15,2.00458
2017-04-13 11:30,3.475,,0.99125,11.3,2.00413
