Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e

Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2014-06-06 05:45,,2.995,0.0725,6.6,
2014-06-06 06:00,,3.1725,0.07125,6.75,
2014-06-06 06:15,,2.695,0.1625,6.5,
2014-06-06 06:30,,3.135,0.09625,6.55,
2014-06-06 06:45,,2.935,0.06375,6.6,
2014-06-06 07:00,,3.04,0.08125,6.5,
2014-06-06 07:15,,2.6575,0.0925,7.525,
2014-06-06 07:30,,3.01,0.225,7.625,
2014-06-06 07:45,,2.9825,0.2,8.0,
2014-06-06 08:00,,2.985,0.305,8.325,
2014-06-06 08:15,,2.6,0.47875,7.875,
2014-06-06 08:30,,2.9975,0.55875,8.475,
2014-06-06 08:45,,3.355,0.33875,9.75,
2014-06-06 09:00,,3.7625,0.2625,9.3,
2014-06-06 09:15,,3.19,0.29,9.2,
2014-06-06 09:30,,2.925,0.275,10.5,
2014-06-06 09:45,,3.15,0.25625,10.45,
2014-06-06 10:00,,3.22,0.16875,10.375,
2014-06-06 10:15,,2.7275,0.135,9.875,
2014-06-06 10:30,,2.7175,0.11875,8.925,
2014-06-06 10:45,,3.1775,0.16125,8.9,
2014-06-06 11:00,,3.2825,0.19375,9.2,
2014-06-06 11:15,,3.24,0.23,8.725,
2014-06-06 11:30,,2.745,0.255,8.775,
2014-06-06 11:45,,2.7025,0.16,8.725,
2014-06-06 12:00,,3.03,0.13125,8.95,
2014-06-06 12:15,,3.195,0.2225,9.1,
2014-06-06 12:30,,3.135,0.21125,8.925,
2014-06-06 12:45,,3.0275,0.19125,8.6,
2014-06-06 13:00,,3.035,0.1725,8.4,
2014-06-06 13:15,,2.9225,0.12625,9.025,
2014-06-06 13:30,,2.91,0.16125,9.0,
2014-06-06 13:45,,3.195,0.1575,8.85,
2014-06-06 14:00,,3.78,0.1475,8.825,
2014-06-06 14:15,,3.62,0.1725,8.75,
2014-06-06 14:30,,3.195,0.14375,8.8,
2014-06-06 14:45,,3.2225,0.14125,9.225,
2014-06-06 15:00,,3.79,0.11625,9.025,
2014-06-06 15:15,,3.985,0.28375,8.725,
2014-06-06 15:30,,3.3275,0.28875,8.6,
2014-06-06 15:45,,2.98,0.31,8.45,
2014-06-06 16:00,,2.9425,0.2625,8.175,
2014-06-06 16:15,,2.9975,0.24875,8.3,
2014-06-06 16:30,,3.265,0.31,8.2,
2014-06-06 16:45,,3.2375,0.29875,9.025,
2014-06-06 17:00,,3.025,0.28125,8.75,
2014-06-06 17:15,,2.98,0.19125,8.8,
