Facility,Barrows,Dascomb,Fairchild,Kahn,Price
Meter name,Electricity Use,Residential Electricity Use,Residential Electricity Use,Total Electricity Use,Price Residential Electricity Use
Meter id,oberlin_barrows_main_e,oberlin_dascomb_res_tot_e,oberlin_fairchild_res_tot_e,oberlin_kahn_main_e,oberlin_price_res_e

Timestamp,Barrows - Electricity Use (kWh),Dascomb - Residential Electricity Use (kWh),Fairchild - Residential Electricity Use (kWh),Kahn - Total Electricity Use (kWh),Price - Price Residential Electricity Use (kWh)
2020-02-19 05:30,3.235,,0.86125,8.925,4.44
2020-02-19 05:45,3.42,,0.72625,8.9,4.93467
2020-02-19 06:00,3.38,,0.765,9.1,5.30719
2020-02-19 06:15,3.295,,0.70875,10.0,5.33208
2020-02-19 06:30,3.505,,0.72375,10.15,5.57857
2020-02-19 06:45,3.735,,0.8075,11.575,5.59952
2020-02-19 07:00,3.595,,0.83,10.45,5.54882
2020-02-19 07:15,3.45,,0.8775,11.375,6.03319
2020-02-19 07:30,3.53,,1.18875,11.25,6.17374
2020-02-19 07:45,3.82,,0.7825,12.2,6.37403
2020-02-19 08:00,3.73,,0.795,11.225,8.1113
2020-02-19 08:15,4.085,,0.795,11.45,8.17965
2020-02-19 08:30,4.93,,0.72625,10.925,8.20765
2020-02-19 08:45,5.77,,0.73875,11.725,7.58758
2020-02-19 09:00,5.535,,0.74625,10.0,7.99101
2020-02-19 09:15,4.91,,0.86375,9.725,8.54376
2020-02-19 09:30,4.15,,0.91625,9.75,7.71146
2020-02-19 09:45,3.62,,0.75875,9.85,7.53436
2020-02-19 10:00,3.6,,0.8225,9.425,7.18647
2020-02-19 10:15,3.49,,0.72375,9.2,6.50432
2020-02-19 10:30,3.44,,0.7625,8.15,5.77091
2020-02-19 10:45,3.37,,0.68125,8.6,5.4762
2020-02-19 11:00,3.52,,0.78875,8.7,5.47609
2020-02-19 11:15,3.585,,0.7875,8.925,5.2734
2020-02-19 11:30,3.95,,0.8125,10.1,5.4979
2020-02-19 11:45,4.585,,0.9025,10.4,5.3538
2020-02-19 12:00,4.92,,0.76,10.65,5.0208
2020-02-19 12:15,5.245,,0.68875,13.075,4.34677
2020-02-19 12:30,5.49,,0.74375,12.7,4.41997
2020-02-19 12:45,6.42,,0.78625,11.875,4.91061
2020-02-19 13:00,6.935,,0.7875,11.275,5.2781
2020-02-19 13:15,6.225,,0.73375,10.675,4.66114
2020-02-19 13:30,6.05,,0.855,10.075,4.30522
2020-02-19 13:45,5.165,,1.2275,10.725,3.96637
2020-02-19 14:00,4.465,,0.83125,8.375,3.84001
2020-02-19 14:15,3.97,,0.75125,9.3,3.43997
2020-02-19 14:30,4.08,,0.7875,8.625,3.58035
2020-02-19 14:45,4.81,,0.94125,9.6,3.69628
2020-02-19 15:00,4.92,,0.8075,9.025,3.56386
2020-02-19 15:15,4.265,,1.11125,8.675,3.35766
2020-02-19 15:30,3.875,,0.94375,8.65,3.46409
